num_words,word_size,words_per_row,area,process,voltage,temperature,slew,load,leakage_power
64,3,4,922,FF,1.0,25,0.00125,0.052275,0.0057766
64,3,4,922,FF,1.0,25,0.00125,0.2091,0.0057766
64,3,4,922,FF,1.0,25,0.00125,0.8364,0.0057766
64,3,4,922,FF,1.0,25,0.005,0.052275,0.0057766
64,3,4,922,FF,1.0,25,0.005,0.2091,0.0057766
64,3,4,922,FF,1.0,25,0.005,0.8364,0.0057766
64,3,4,922,FF,1.0,25,0.04,0.052275,0.0057766
64,3,4,922,FF,1.0,25,0.04,0.2091,0.0057766
64,3,4,922,FF,1.0,25,0.04,0.8364,0.0057766
64,3,4,922,SS,1.0,25,0.00125,0.052275,0.0057766
64,3,4,922,SS,1.0,25,0.00125,0.2091,0.0057766
64,3,4,922,SS,1.0,25,0.00125,0.8364,0.0057766
64,3,4,922,SS,1.0,25,0.005,0.052275,0.0057766
64,3,4,922,SS,1.0,25,0.005,0.2091,0.0057766
64,3,4,922,SS,1.0,25,0.005,0.8364,0.0057766
64,3,4,922,SS,1.0,25,0.04,0.052275,0.0057766
64,3,4,922,SS,1.0,25,0.04,0.2091,0.0057766
64,3,4,922,SS,1.0,25,0.04,0.8364,0.0057766
64,3,4,922,TT,1.0,25,0.00125,0.052275,0.0057766
64,3,4,922,TT,1.0,25,0.00125,0.2091,0.0057766
64,3,4,922,TT,1.0,25,0.00125,0.8364,0.0057766
64,3,4,922,TT,1.0,25,0.005,0.052275,0.0057766
64,3,4,922,TT,1.0,25,0.005,0.2091,0.0057766
64,3,4,922,TT,1.0,25,0.005,0.8364,0.0057766
64,3,4,922,TT,1.0,25,0.04,0.052275,0.0057766
64,3,4,922,TT,1.0,25,0.04,0.2091,0.0057766
64,3,4,922,TT,1.0,25,0.04,0.8364,0.0057766
64,2,4,780,FF,1.0,25,0.00125,0.052275,0.004763
64,2,4,780,FF,1.0,25,0.00125,0.2091,0.004763
64,2,4,780,FF,1.0,25,0.00125,0.8364,0.004763
64,2,4,780,FF,1.0,25,0.005,0.052275,0.004763
64,2,4,780,FF,1.0,25,0.005,0.2091,0.004763
64,2,4,780,FF,1.0,25,0.005,0.8364,0.004763
64,2,4,780,FF,1.0,25,0.04,0.052275,0.004763
64,2,4,780,FF,1.0,25,0.04,0.2091,0.004763
64,2,4,780,FF,1.0,25,0.04,0.8364,0.004763
64,2,4,780,SS,1.0,25,0.00125,0.052275,0.004763
64,2,4,780,SS,1.0,25,0.00125,0.2091,0.004763
64,2,4,780,SS,1.0,25,0.00125,0.8364,0.004763
64,2,4,780,SS,1.0,25,0.005,0.052275,0.004763
64,2,4,780,SS,1.0,25,0.005,0.2091,0.004763
64,2,4,780,SS,1.0,25,0.005,0.8364,0.004763
64,2,4,780,SS,1.0,25,0.04,0.052275,0.004763
64,2,4,780,SS,1.0,25,0.04,0.2091,0.004763
64,2,4,780,SS,1.0,25,0.04,0.8364,0.004763
64,2,4,780,TT,1.0,25,0.00125,0.052275,0.004763
64,2,4,780,TT,1.0,25,0.00125,0.2091,0.004763
64,2,4,780,TT,1.0,25,0.00125,0.8364,0.004763
64,2,4,780,TT,1.0,25,0.005,0.052275,0.004763
64,2,4,780,TT,1.0,25,0.005,0.2091,0.004763
64,2,4,780,TT,1.0,25,0.005,0.8364,0.004763
64,2,4,780,TT,1.0,25,0.04,0.052275,0.004763
64,2,4,780,TT,1.0,25,0.04,0.2091,0.004763
64,2,4,780,TT,1.0,25,0.04,0.8364,0.004763
32,1,2,584,FF,1.0,25,0.00125,0.052275,0.0032641
32,1,2,584,FF,1.0,25,0.00125,0.2091,0.0032641
32,1,2,584,FF,1.0,25,0.00125,0.8364,0.0032641
32,1,2,584,FF,1.0,25,0.005,0.052275,0.0032641
32,1,2,584,FF,1.0,25,0.005,0.2091,0.0032641
32,1,2,584,FF,1.0,25,0.005,0.8364,0.0032641
32,1,2,584,FF,1.0,25,0.04,0.052275,0.0032641
32,1,2,584,FF,1.0,25,0.04,0.2091,0.0032641
32,1,2,584,FF,1.0,25,0.04,0.8364,0.0032641
32,1,2,584,SS,1.0,25,0.00125,0.052275,0.0032641
32,1,2,584,SS,1.0,25,0.00125,0.2091,0.0032641
32,1,2,584,SS,1.0,25,0.00125,0.8364,0.0032641
32,1,2,584,SS,1.0,25,0.005,0.052275,0.0032641
32,1,2,584,SS,1.0,25,0.005,0.2091,0.0032641
32,1,2,584,SS,1.0,25,0.005,0.8364,0.0032641
32,1,2,584,SS,1.0,25,0.04,0.052275,0.0032641
32,1,2,584,SS,1.0,25,0.04,0.2091,0.0032641
32,1,2,584,SS,1.0,25,0.04,0.8364,0.0032641
32,1,2,584,TT,1.0,25,0.00125,0.052275,0.0032641
32,1,2,584,TT,1.0,25,0.00125,0.2091,0.0032641
32,1,2,584,TT,1.0,25,0.00125,0.8364,0.0032641
32,1,2,584,TT,1.0,25,0.005,0.052275,0.0032641
32,1,2,584,TT,1.0,25,0.005,0.2091,0.0032641
32,1,2,584,TT,1.0,25,0.005,0.8364,0.0032641
32,1,2,584,TT,1.0,25,0.04,0.052275,0.0032641
32,1,2,584,TT,1.0,25,0.04,0.2091,0.0032641
32,1,2,584,TT,1.0,25,0.04,0.8364,0.0032641
32,2,2,642,FF,1.0,25,0.00125,0.052275,0.0038099
32,2,2,642,FF,1.0,25,0.00125,0.2091,0.0038099
32,2,2,642,FF,1.0,25,0.00125,0.8364,0.0038099
32,2,2,642,FF,1.0,25,0.005,0.052275,0.0038099
32,2,2,642,FF,1.0,25,0.005,0.2091,0.0038099
