num_words,word_size,words_per_row,area,process,voltage,temperature,read_power
16,2,1,1113,FF,1.0,25,0.1725
16,2,1,1113,SS,1.0,25,0.1725
16,2,1,1113,TT,1.0,25,0.1725
64,2,4,1362,FF,1.0,25,0.2171
64,2,4,1362,SS,1.0,25,0.2171
64,2,4,1362,TT,1.0,25,0.2171
16,1,1,1066,FF,1.0,25,0.1581
16,1,1,1066,SS,1.0,25,0.1581
16,1,1,1066,TT,1.0,25,0.1581
32,3,2,1270,FF,1.0,25,0.2117
32,3,2,1270,SS,1.0,25,0.2117
32,3,2,1270,TT,1.0,25,0.2117
32,2,2,1190,FF,1.0,25,0.1889
32,2,2,1190,SS,1.0,25,0.1889
32,2,2,1190,TT,1.0,25,0.1889
16,3,1,1146,FF,1.0,25,0.1862
16,3,1,1146,SS,1.0,25,0.1862
16,3,1,1146,TT,1.0,25,0.1862
32,1,2,1113,FF,1.0,25,0.1792
32,1,2,1113,SS,1.0,25,0.1792
32,1,2,1113,TT,1.0,25,0.1792
64,3,4,1506,FF,1.0,25,0.2412
64,3,4,1506,SS,1.0,25,0.2412
64,3,4,1506,TT,1.0,25,0.2412
