num_words,word_size,words_per_row,area,process,voltage,temperature,output_slew
16,2,1,1113,FF,1.0,25,0.268
16,2,1,1113,SS,1.0,25,0.268
16,2,1,1113,TT,1.0,25,0.268
64,2,4,1362,FF,1.0,25,0.244
64,2,4,1362,SS,1.0,25,0.244
64,2,4,1362,TT,1.0,25,0.244
16,1,1,1066,FF,1.0,25,0.264
16,1,1,1066,SS,1.0,25,0.264
16,1,1,1066,TT,1.0,25,0.264
32,3,2,1270,FF,1.0,25,0.25
32,3,2,1270,SS,1.0,25,0.25
32,3,2,1270,TT,1.0,25,0.25
32,2,2,1190,FF,1.0,25,0.246
32,2,2,1190,SS,1.0,25,0.246
32,2,2,1190,TT,1.0,25,0.246
16,3,1,1146,FF,1.0,25,0.272
16,3,1,1146,SS,1.0,25,0.272
16,3,1,1146,TT,1.0,25,0.272
32,1,2,1113,FF,1.0,25,0.241
32,1,2,1113,SS,1.0,25,0.241
32,1,2,1113,TT,1.0,25,0.241
64,3,4,1506,FF,1.0,25,0.248
64,3,4,1506,SS,1.0,25,0.248
64,3,4,1506,TT,1.0,25,0.248
