num_words,word_size,words_per_row,area,process,voltage,temperature,read_power
16,2,1,88873,FF,5.0,25,8.0252
16,2,1,88873,SS,5.0,25,8.0252
16,2,1,88873,TT,3.6,25,8.0252
64,2,4,108116,FF,5.0,25,9.8616
64,2,4,108116,SS,5.0,25,9.8616
64,2,4,108116,TT,3.6,25,9.8616
16,1,1,86004,FF,5.0,25,7.4911
16,1,1,86004,SS,5.0,25,7.4911
16,1,1,86004,TT,3.6,25,7.4911
32,3,2,101618,FF,5.0,25,9.0957
32,3,2,101618,SS,5.0,25,9.0957
32,3,2,101618,TT,3.6,25,9.0957
16,3,1,93009,FF,5.0,25,8.5708
16,3,1,93009,SS,5.0,25,8.5708
16,3,1,93009,TT,3.6,25,8.5708
64,1,4,95878,FF,5.0,25,8.5750
64,1,4,95878,SS,5.0,25,8.5750
64,1,4,95878,TT,3.6,25,8.5750
32,1,2,90139,FF,5.0,25,7.9725
32,1,2,90139,SS,5.0,25,7.9725
32,1,2,90139,TT,3.6,25,7.9725
